145,IPIM INDEC Industrias metálicas básicas,Indice de Produccion Industrial Manufacturero de Industrias metálicas básicas. FUENTE: INDEC
146,IPIM INDEC Industria siderúrgica,Indice de Produccion Industrial Manufacturero de Industria siderúrgica. FUENTE: INDEC
147,IPIM INDEC Aluminio y otros metales no ferrosos,Indice de Produccion Industrial Manufacturero de Aluminio y otros metales no ferrosos. FUENTE: INDEC
148,IPIM INDEC Fundición de metales,Indice de Produccion Industrial Manufacturero de Fundición de metales. FUENTE: INDEC
149,IPIM INDEC Productos de metal,Indice de Produccion Industrial Manufacturero de Productos de metal. FUENTE: INDEC
150,IPIM INDEC Productos metálicos para uso estructural ,Indice de Produccion Industrial Manufacturero de Productos metálicos para uso estructural . FUENTE: INDEC
151,IPIM INDEC Envases metálicos,Indice de Produccion Industrial Manufacturero de Envases metálicos. FUENTE: INDEC
152,IPIM INDEC Otros productos de metal y servicios de trabajo de metales,Indice de Produccion Industrial Manufacturero de Otros productos de metal y servicios de trabajo de metales. FUENTE: INDEC
153,IPIM INDEC Maquinaria y equipo,Indice de Produccion Industrial Manufacturero de Maquinaria y equipo. FUENTE: INDEC
154,IPIM INDEC Maquinaria de uso general,Indice de Produccion Industrial Manufacturero de Maquinaria de uso general. FUENTE: INDEC
155,IPIM INDEC Maquinaria agropecuaria,Indice de Produccion Industrial Manufacturero de Maquinaria agropecuaria. FUENTE: INDEC
156,IPIM INDEC Otra maquinaria de uso especial,Indice de Produccion Industrial Manufacturero de Otra maquinaria de uso especial. FUENTE: INDEC
157,IPIM INDEC Aparatos de uso doméstico,Indice de Produccion Industrial Manufacturero de Aparatos de uso doméstico. FUENTE: INDEC
158,IPIM INDEC Otros equipos, aparatos e instrumentos,Indice de Produccion Industrial Manufacturero de Otros equipos, aparatos e instrumentos. FUENTE: INDEC
159,IPIM INDEC Equipos y aparatos de informática, televisión y comunicaciones, y componentes electrónicos,Indice de Produccion Industrial Manufacturero de Equipos y aparatos de informática, televisión y comunicaciones, y componentes electrónicos. FUENTE: INDEC
160,IPIM INDEC Equipos y aparatos eléctricos,Indice de Produccion Industrial Manufacturero de Equipos y aparatos eléctricos. FUENTE: INDEC
